,user_id,gender,married,has_children,age,user_since,reisen_gesamt,stornierte_reisen,rooms_avg,nights_avg,hotel_price_avg,hotel_count,seats_avg,flight_price_avg,flight_count,checked_bags_avg,session_dauer_avg_sec
0,531931,1,False,False,40,25,2,,1.5,2.5,492.5,2.0,1.5,944.145,2.0,0.5,70.875
1,611065,1,False,False,43,23,4,,1.5,1.25,407.5,4.0,1.5,893.1925,4.0,0.75,146.75
2,586762,1,False,False,37,24,3,,1.3333333333333333,6.333333333333333,1939.6666666666667,3.0,1.3333333333333333,607.43,3.0,0.3333333333333333,116.375
3,229330,1,True,False,48,31,4,,1.75,1.5,798.25,4.0,1.75,387.0275,4.0,0.25,119.625
4,536035,0,False,False,29,25,2,,1.5,1.0,163.0,2.0,1.5,488.34000000000003,2.0,0.5,102.75
5,477730,1,False,False,46,25,5,,1.2,3.6,1074.0,5.0,1.2,697.142,5.0,0.0,171.75
6,513030,1,False,False,39,25,3,,1.0,4.0,720.3333333333334,3.0,1.0,202.27666666666667,3.0,0.0,91.5
7,570821,1,True,True,42,24,3,,1.0,2.6666666666666665,294.6666666666667,3.0,1.0,482.6233333333333,3.0,0.6666666666666666,88.25
8,517076,1,False,False,39,25,5,,1.2,6.8,890.0,5.0,1.0,459.085,2.0,0.0,196.75
9,585248,1,True,True,49,24,1,,1.0,1.0,121.0,1.0,1.0,394.55,1.0,0.0,81.875
10,539267,1,True,False,43,24,2,,2.0,0.5,114.0,2.0,2.0,293.875,2.0,0.5,87.375
11,611954,1,False,False,44,23,4,,1.0,1.75,393.75,4.0,1.0,187.13,4.0,0.75,125.5
12,577541,1,False,False,35,24,4,1.0,1.0,2.5,307.5,2.0,1.0,199.485,2.0,1.0,158.333333333
13,524607,1,True,False,37,25,5,,1.0,2.6666666666666665,674.0,3.0,1.0,654.434,5.0,0.6,120.5
14,549579,1,False,False,43,24,1,,1.0,2.0,232.0,1.0,1.0,183.7,1.0,0.0,70.625
15,547266,1,True,False,56,24,3,,1.3333333333333333,2.0,350.0,3.0,1.5,490.97499999999997,2.0,1.0,110.375
16,532119,1,True,False,53,25,6,,1.0,3.8,594.8,5.0,1.5,555.7633333333333,6.0,0.16666666666666666,144.75
17,562032,1,False,False,23,24,2,,1.5,7.5,2180.0,2.0,,,,,110.75
18,545879,1,False,False,27,24,4,1.0,1.0,1.5,322.5,2.0,1.0,420.6,2.0,0.0,119.166666666
19,630176,1,True,True,53,23,1,,1.0,0.0,0.0,1.0,1.0,597.57,1.0,0.0,176.75
20,517324,1,True,False,70,25,1,,,,,,1.0,472.44,1.0,1.0,152.5
21,539953,0,True,True,36,24,2,,1.0,2.5,460.0,2.0,1.0,296.695,2.0,0.0,94.875
22,577944,1,True,False,69,24,1,,2.0,6.0,876.0,1.0,,,,,80.875
23,565601,0,True,True,51,24,0,,,,,,,,,,73.375
24,531109,1,True,True,50,25,4,,1.0,1.25,130.0,4.0,1.0,240.4775,4.0,1.0,126.25
25,555478,1,False,False,30,24,3,,1.0,4.333333333333333,1209.0,3.0,1.3333333333333333,616.4466666666667,3.0,0.3333333333333333,130.875
26,528158,1,True,False,50,25,3,,1.0,3.0,393.0,1.0,1.0,318.9166666666667,3.0,0.3333333333333333,113.75
27,629952,1,False,False,46,23,3,,1.3333333333333333,1.6666666666666667,476.3333333333333,3.0,1.3333333333333333,404.78999999999996,3.0,0.6666666666666666,214.5
28,521708,1,True,False,48,25,4,,1.0,4.0,448.0,3.0,1.0,285.3325,4.0,0.75,162.625
29,520265,1,True,True,43,25,5,,1.0,5.0,770.0,5.0,1.0,581.515,4.0,0.25,110.375
30,512831,1,False,False,45,25,4,,1.0,2.0,553.5,2.0,2.0,760.1066666666667,3.0,1.0,104.75
31,548123,0,True,True,48,24,0,,,,,,,,,,59.5
32,586811,1,False,True,43,24,4,,1.0,2.0,287.5,2.0,1.0,172.67000000000002,4.0,0.5,87.444444444
33,527346,1,True,False,47,25,3,,2.5,1.5,481.5,2.0,2.0,893.1366666666667,3.0,0.3333333333333333,161.875
34,515516,0,True,False,35,25,0,,,,,,,,,,117.875
35,585492,1,False,False,46,24,1,,1.0,2.0,120.0,1.0,1.0,682.21,1.0,0.0,103.5
36,553985,1,False,False,37,24,4,1.0,1.0,3.0,103.5,2.0,1.0,461.7,2.0,0.0,104.833333333
37,528281,1,False,False,53,25,5,,1.6,4.0,896.0,5.0,1.6666666666666667,634.6333333333333,3.0,0.3333333333333333,111.25
38,523395,1,False,False,33,25,3,,1.0,2.6666666666666665,699.3333333333334,3.0,1.0,442.26,3.0,1.3333333333333333,158.5
39,548872,1,False,True,21,24,1,,1.0,4.0,664.0,1.0,,,,,151.625
40,454661,1,False,False,46,26,3,,1.0,1.3333333333333333,269.3333333333333,3.0,1.0,356.57666666666665,3.0,0.3333333333333333,118.5
41,499461,1,False,False,51,25,2,,1.0,2.0,543.5,2.0,1.0,162.73000000000002,2.0,0.0,120.875
42,512193,1,False,True,38,25,1,,1.0,8.0,336.0,1.0,1.0,354.05,1.0,0.0,61.25
43,556019,1,True,False,58,24,3,,1.0,2.6666666666666665,339.3333333333333,3.0,1.0,267.2766666666667,3.0,0.3333333333333333,105.777777777
44,510365,1,False,False,46,25,4,,1.5,4.25,1667.5,4.0,1.5,537.255,4.0,0.25,95.25
45,469824,1,False,False,52,26,3,,1.3333333333333333,5.0,766.0,3.0,1.0,95.125,2.0,1.0,135.25
46,494590,1,False,False,29,25,4,,1.25,3.75,1421.5,4.0,1.0,204.58,3.0,1.0,112.5
47,559441,1,True,False,67,24,2,,1.0,3.0,453.0,1.0,1.0,165.17,1.0,1.0,96.666666666
48,522276,1,False,False,48,25,2,,2.0,1.5,844.0,2.0,2.0,1526.89,2.0,1.5,79.625
49,651491,0,False,False,43,23,6,1.0,1.0,5.75,586.25,4.0,1.0,301.68499999999995,2.0,0.5,133.166666666
50,539493,1,False,False,18,24,0,,,,,,,,,,116.555555555
51,534842,1,True,False,47,25,2,,1.0,1.0,160.5,2.0,1.0,123.035,2.0,0.0,102.375
52,529602,0,True,True,46,25,4,1.0,1.0,6.5,1333.5,2.0,1.0,404.78,2.0,0.0,179.5
53,550459,1,False,False,44,24,4,,1.0,4.0,516.6666666666666,3.0,1.0,229.37,4.0,0.5,121.777777777
54,204997,1,True,False,39,32,5,2.0,1.0,4.0,284.0,1.0,1.0,244.235,2.0,0.5,111.6
